SA2_NAME,SA2_MAINCODE,Number of available beds,Population,Weekly_Earnings,No_of_Dwellings,No_of_employed_persons,No_of_tertiary_educated,Monthly_Mortgage_Repayment,Number_of_renters,No_of_indigenous_ppl
ACT - South West,801111140,45.7,5158.0,162.0,190.0,317,109.0,53.0,31,0
Acton - Upper Burnie,604011075,145.0,3206.0,1394.0,1628.0,1184,135.0,438.0,556,5
Adelaide,401011001,812.0,16285.0,5521.0,8147.0,5972,5237.0,904.0,3978,7
Adelaide Hills,401021003,17.0,6914.0,2367.0,2670.0,3558,944.0,1132.0,227,0
Airlie - Whitsundays,312031359,33.0,13375.0,3381.0,5701.0,6653,1359.0,1061.0,1788,22
Aitkenvale,318021467,749.0,4908.0,1816.0,2132.0,2004,726.0,472.0,819,35
Alawa,701021010,1243.0,2286.0,633.0,788.0,1036,422.0,251.0,220,20
Albany,509011225,128.0,14622.0,5550.0,7505.0,6003,1828.0,1296.0,2047,4
Albany Region,509011226,145.7,3501.0,1078.0,1578.0,1653,438.0,319.0,233,0
Albury - East,109011172,322.9,15321.0,4622.0,6176.0,7429,2363.0,1978.0,1567,3
Albury - North,109011173,322.9,10004.0,3570.0,4552.0,4233,1011.0,1274.0,1263,10
Albury - South,109011174,645.8,10686.0,4247.0,5281.0,4676,1969.0,1095.0,1574,6
Albury Region,109011175,691.0,11784.0,3919.0,4961.0,5282,1136.0,1425.0,683,9
Alexandra,204011054,18.0,6474.0,2478.0,3947.0,2652,691.0,679.0,505,0
Alfredton,201011001,360.0,11852.0,2762.0,4385.0,5747,2019.0,1250.0,1024,3
Alphington - Fairfield,206021110,196.0,9434.0,3286.0,3970.0,4921,3275.0,1034.0,1351,3
Alps - West,205051099,9.0,24.0,9.0,12.0,17,0.0,3.0,3,0
Andergrove - Beaconsfield,312021342,227.0,15229.0,4835.0,6318.0,6918,1145.0,1925.0,1869,210
Annandale,318021468,749.0,10377.0,2744.0,3011.0,5168,1698.0,1095.0,740,10
Ararat,215011386,38.0,8386.0,3062.0,3711.0,3248,624.0,940.0,881,0
Ararat Region,215011387,56.0,3198.0,1183.0,1595.0,1420,357.0,288.0,189,0
Armidale,110011186,96.7,24114.0,7979.0,9894.0,9636,4954.0,2188.0,3203,20
Armidale Region - North,110011187,145.4,4558.0,1599.0,2111.0,2043,506.0,426.0,473,8
Armidale Region - South,110011188,120.7,6120.0,2186.0,2694.0,2739,883.0,744.0,465,5
Aroona - Currimundi,316021417,32.0,10281.0,3572.0,4102.0,4422,1132.0,1241.0,936,10
Ashburton (WA),510031271,16.0,13311.0,1936.0,3590.0,8305,1244.0,68.0,1814,41
Ashfield - Kepnock,319011492,247.0,5332.0,1811.0,2179.0,2014,367.0,544.0,631,13
Asquith - Mount Colah,121021403,261.3,18856.0,5872.0,6384.0,9611,4575.0,2754.0,797,3
Atherton,306051166,64.0,10943.0,3991.0,5086.0,4377,1035.0,954.0,1421,131
Auburn - Central,125011582,171.0,0,0,5031.0,6277,2791.0,0,1954,0
Augusta,501011001,28.0,5559.0,1693.0,3341.0,2479,742.0,430.0,540,0
Avoca,201031013,100.0,3323.0,1373.0,1837.0,1209,266.0,378.0,197,0
Ayr,318011460,31.0,9235.0,3478.0,4306.0,4015,640.0,932.0,1142,93
Babinda,306031158,84.0,4300.0,1544.0,2161.0,1892,318.0,427.0,398,35
Bacchus Marsh,213041353,39.0,20989.0,6080.0,8031.0,9307,2174.0,2768.0,1603,0
Bacchus Marsh Region,201021009,39.0,5982.0,2016.0,2629.0,2698,713.0,946.0,267,4
Bairnsdale,205021081,101.0,14899.0,5314.0,6816.0,5729,1288.0,1543.0,1644,3
Balcatta - Hamersley,505021084,164.8,15990.0,6067.0,7054.0,7202,2664.0,1945.0,1701,0
Ballarat,201011002,360.0,12301.0,4761.0,5766.0,5491,3014.0,1270.0,1647,0
Ballarat - North,201011003,360.0,23539.0,8621.0,10679.0,10533,4019.0,3010.0,2701,0
Ballarat - South,201011004,360.0,24654.0,9212.0,11626.0,9991,2922.0,2980.0,3873,13
Ballina,112011236,69.8,17555.0,7008.0,8741.0,6346,2105.0,1289.0,2673,15
Ballina Region,112011237,69.8,17247.0,5891.0,6945.0,7280,2671.0,1916.0,1312,6
Balmain,120021387,81.2,16629.0,6257.0,7517.0,8376,6599.0,1853.0,2509,0
Balonne,307011171,10.0,4461.0,1619.0,2240.0,2149,377.0,396.0,577,11
Banana,308041528,74.0,8687.0,3090.0,4408.0,4336,577.0,782.0,944,12
Bangalow,112011238,340.8,6006.0,1928.0,2549.0,2582,1242.0,648.0,528,0
Bankstown - South,119011572,390.0,0,0,5242.0,5602,2154.0,0,2066,0
Barcaldine - Blackall,315031408,57.0,4834.0,2066.0,2664.0,2383,381.0,443.0,593,15
Bargara - Burnett Heads,319011493,247.0,16912.0,5782.0,8350.0,6431,2096.0,1705.0,1816,27
Barkly,702021055,85.0,2857.0,512.0,1170.0,605,94.0,7.0,437,5
Barmera,407031159,102.0,6665.0,2504.0,3073.0,2815,406.0,862.0,618,4
Barossa - Angaston,405011110,75.0,6266.0,2255.0,2750.0,2992,694.0,935.0,435,0
Bateau Bay - Killarney Vale,102021044,22.0,22478.0,8037.0,9083.0,9330,2054.0,2871.0,1973,12
Bateman,507041176,928.6,3840.0,1243.0,1386.0,1803,1146.0,443.0,283,0
Batemans Bay,101041017,34.9,7871.0,2969.0,4643.0,2540,639.0,682.0,989,4
Batemans Bay - South,101041018,34.9,8510.0,3174.0,5806.0,2862,970.0,725.0,905,8
Bathurst,103011058,111.5,24454.0,8356.0,10471.0,10443,3380.0,2604.0,3266,27
Bathurst - East,103011059,111.5,11424.0,3180.0,4171.0,4906,1197.0,1301.0,927,14
Bathurst Region,103011060,167.29999999999998,7006.0,2310.0,3051.0,3124,875.0,881.0,282,10
Bayonet Head - Lower King,509011227,128.0,4899.0,1490.0,2065.0,2129,526.0,559.0,379,3
Beachmere - Sandstone Point,313011362,265.0,15313.0,5105.0,6722.0,5234,1026.0,1545.0,1546,11
Beaudesert,311011305,28.0,14196.0,4444.0,5835.0,5356,866.0,1345.0,1771,39
Beaufort,201031014,16.0,4454.0,1515.0,1992.0,1628,348.0,456.0,233,3
Beauty Point - Beaconsfield,602021053,4.0,3799.0,1542.0,2320.0,1252,269.0,471.0,305,4
Beechworth,204031068,13.0,4632.0,1594.0,2095.0,1999,890.0,509.0,350,0
Bega - Tathra,101041019,90.5,8593.0,3130.0,3988.0,3480,1064.0,956.0,923,3
Bega-Eden Hinterland,101041020,129.6,8952.0,3302.0,4402.0,3709,1189.0,1145.0,461,11
Belconnen,801011002,278.0,6743.0,1914.0,3314.0,3583,2779.0,400.0,1918,0
Bellevue Heights,403031066,656.0,7569.0,2546.0,2891.0,3158,2162.0,932.0,482,4
Bellingen,104021083,68.8,6007.0,2173.0,2564.0,2256,1110.0,654.0,547,4
Belmont - Bennetts Green,111011206,118.9,18223.0,6445.0,7386.0,7657,2017.0,2228.0,1518,3
Belmont South - Blacksmiths,111011207,118.9,5745.0,2351.0,2735.0,2241,453.0,564.0,762,3
Benalla,204021063,55.0,10420.0,4260.0,5156.0,3993,919.0,1217.0,1222,3
Bendigo,202011018,414.0,14770.0,5812.0,7378.0,6047,2205.0,1622.0,2543,11
Bendigo Region - South,202021026,24.0,7346.0,2090.0,2741.0,3523,1039.0,1017.0,200,3
Bentleigh East (North),208021426,128.0,0,0,5792.0,7104,3796.0,0,1222,0
Bentley - Wilson - St James,506031124,182.4,21057.0,7131.0,8840.0,8276,4840.0,1601.0,3364,3
Berkeley - Lake Heights - Cringila,107011545,57.3,0,0,5517.0,5007,875.0,0,1557,8
Berri,407031160,53.0,4211.0,1684.0,2077.0,1507,342.0,419.0,719,7
Berry - Kangaroo Valley,114011272,26.0,8953.0,3371.0,4635.0,3452,1569.0,843.0,597,3
Berwick - South,212021294,240.0,26874.0,7001.0,8275.0,12630,4339.0,4291.0,1818,0
Beverley,404011090,300.0,7936.0,2820.0,3434.0,3734,1189.0,995.0,1004,6
Bidwill - Hebersham - Emerton,116031313,109.5,18948.0,5598.0,6232.0,5760,872.0,1610.0,2733,23
Biloela,308041529,24.0,5883.0,2067.0,2580.0,2849,494.0,679.0,840,32
Bilpin - Colo - St Albans,115031299,622.4,2795.0,848.0,1320.0,1214,328.0,357.0,130,0
Blacktown (East) - Kings Park,116011303,448.3,17519.0,5365.0,6179.0,7824,3569.0,1738.0,2699,12
Blacktown (North) - Marayong,116011304,448.3,18627.0,5573.0,6295.0,7938,2743.0,2073.0,2078,15
Blacktown (West),116011561,448.3,0,0,5460.0,7275,2587.0,0,1641,0
Blayney,103041076,458.70000000000005,7355.0,2555.0,3201.0,3235,744.0,922.0,618,5
Bli Bli,316071545,150.0,8510.0,2399.0,3306.0,3766,932.0,1018.0,590,10
Blue Mountains - South,124021456,17.9,4.0,0.0,17.0,0,0.0,0.0,3,0
Bohle Plains,318021470,34.0,7416.0,1721.0,2573.0,3744,805.0,858.0,745,17
Bombala,101031013,64.0,2420.0,1009.0,1323.0,1067,199.0,250.0,205,0
Bonnells Bay - Silverwater,111021216,121.7,8931.0,3014.0,3908.0,3596,1015.0,1065.0,744,3
Boonah,310021277,489.0,12153.0,4017.0,5051.0,5234,986.0,1350.0,835,28
Booral - River Heads,319041516,192.0,4637.0,1477.0,1878.0,1742,353.0,617.0,286,6
Bossley Park - Abbotsbury,127021510,271.8,19498.0,5246.0,5687.0,8074,2143.0,2078.0,1121,0
Bouldercombe,308031206,12.0,1883.0,651.0,811.0,806,100.0,252.0,95,3
Bourke - Brewarrina,105011092,20.0,4185.0,1398.0,1978.0,1414,279.0,258.0,634,13
Bowen,312011337,27.0,9208.0,3148.0,4652.0,3813,580.0,785.0,1469,82
Bowral,114021284,70.7,13218.0,4782.0,6052.0,4972,2867.0,1342.0,917,4
Box Hill,207031163,536.0,20839.0,6464.0,8728.0,8852,6339.0,1759.0,3346,0
Boyne Island - Tannum Sands,308051531,79.0,10073.0,3120.0,4314.0,4466,922.0,1387.0,1069,10
